draw_index,ratio
395,2.4411294876024887
396,2.4411294876024887
397,2.4411294876024887
398,2.4411294876024887
399,2.4411294876024887
400,2.5600897363307813
401,2.145921636068585
402,2.145921636068585
403,2.386705418999842
404,2.145921636068585
405,2.145921636068585
406,2.5600897363307813
407,2.145921636068585
408,2.386705418999842
409,2.145921636068585
410,2.145921636068585
411,2.5600897363307813
412,2.386705418999842
413,2.145921636068585
414,2.145921636068585
415,2.5600897363307813
416,2.386705418999842
417,2.386705418999842
418,2.5600897363307813
419,2.145921636068585
420,2.5600897363307813
421,2.5600897363307813
422,2.4411294876024887
423,2.4411294876024887
